"Investing.Company","stateab","newstext"
"Bridgestone Americas Tire Operations","SC","Haley has traveled out of the state on about 25 trips since her November election, at least four of those involving fundraising.She recently drew criticism for not disclosing fundraising events on her public schedule, such as trips to Michigan and Texas in late September.Because of limited reporting requirements, it is unclear how many of Haley's out-of-state trips have involved fundraising.Research into a donation by the Dallas-based Indian American Friendship Council revealed a previously undisclosed fundraiser on Aug. 19.Many of the insurance contributions center around a Sept. 20 fundraiser in Texas hosted by the Ethos Group, an automotive insurance company licensed to do business in South Carolina.Haley is the daughter of Indian immigrants.A Facebook page for the Indian American Friendship Council reports that its August fundraiser for Haley was a sold-out event.How money was spent   Haley's campaign disclosure form also details her expenses for the quarter.The governor spent money on travel, consulting, telephone costs, postage, printing and office expenses.She also paid event expenses to companies and individuals in Texas, Pennsylvania, Connecticut, New Jersey and Michigan.Haley's Kiawah Island staff retreat in September is also listed as a more-than-$3,600 expense.Questions about Haley's out-of-state fundraising efforts have been referred to Crawford, her campaign aide.For example, the law does not require politicians to disclose where the money was raised or who may have organized a fundraiser.He spent more than he took in with $13,500 listed for expenses, including consulting fees, mileage and food reimbursements.He spent $215 on mileage reimbursement and had about $25,000 in cash in the bank.He spent more than $3,600 on accounting services, a reception and cellphone costs, among other expenses.Haley has traveled out of the state on about 25 trips since her November election, at least four of those involving fundraising.She recently drew criticism for not disclosing fundraising events on her public schedule, such as trips to Michigan and Texas in late September.Because of limited reporting requirements, it is unclear how many of Haley's out-of-state trips have involved fundraising.Research into a donation by the Dallas-based Indian American Friendship Council revealed a previously undisclosed fundraiser on Aug. 19.Many of the insurance contributions center around a Sept. 20 fundraiser in Texas hosted by the Ethos Group, an automotive insurance company licensed to do business in South Carolina.Haley is the daughter of Indian immigrants.A Facebook page for the Indian American Friendship Council reports that its August fundraiser for Haley was a sold-out event.How money was spent   Haley's campaign disclosure form also details her expenses for the quarter.The governor spent money on travel, consulting, telephone costs, postage, printing and office expenses.She also paid event expenses to companies and individuals in Texas, Pennsylvania, Connecticut, New Jersey and Michigan.Haley's Kiawah Island staff retreat in September is also listed as a more-than-$3,600 expense.Questions about Haley's out-of-state fundraising efforts have been referred to Crawford, her campaign aide.For example, the law does not require politicians to disclose where the money was raised or who may have organized a fundraiser.Cit at ion (ag lc St yle )                Yvonne Wenger, 'Haley nets over $223,000 in campaign cash in 3 months, with most from                outside S.C.', Post and Courier, The: Web Edition Articles (online), 11 Oct 2011                ‹http://haproxy.newsbank.com:11021:11021/apps/news/document-view?                p=WORLDNEWS&docref=news/16306F05FA34BDD8›  Gov. Haley releases fundraising totals, including many out-of-state donations October 10, 2011 | Post and Courier, The: Web Edition Articles (Charleston, SC) Author: Yvonne Wenger Section: State Politics 423 Words OpenURL Link   COLUMBIA — Nearly two-thirds of Gov. Nikki Haley's third quarter campaign cash came from out of state donors, according to her latest campaign disclosure forms.Her expenses detail money the governor paid for consulting, telephone costs, postage, printing and office expenses.It also shows that she paid event expenses in companies and individuals in Texas, Pennsylvania, Connecticut, New Jersey and Michigan.The governor has been criticized for a lack of transparency when it comes to out-of-state fundraisers.For instance, the governor held two out-of-state fundraising trips in Michigan and Texas within the same week in late September and neither were disclosed on her public schedule.Haley's spokesman has defended the governor by noting that she discloses more of her schedule than her predecessors did, and that campaign fundraisers are not part of her official duties as governor and therefore don't appear on the schedule released by her office.Most of the newspaper's recent questions about Haley's fundraising efforts were referred to a campaign spokeswoman, who refused to answer them, referring to the governor's campaign disclosure forms.Haley releases fundraising totals, including many out-of-state                donations', Post and Courier, The: Web Edition Articles (online), 10 Oct 2011                ‹http://haproxy.newsbank.com:11021:11021/apps/news/document-view?                p=WORLDNEWS&docref=news/16306F04F2BCB560›  Bridgestone to bring 850 jobs to Aiken County September 21, 2011 | Aiken Standard (SC) Author: HALEY HUGHES - Staff writer - email:hhughes@aikenstandard.com Section: TalkBack: Sam's Club, U.S. government, Clinton, Postal Service, weather 749 Words OpenURL Link   The milestones don't stop there.Members of Aiken County Council have worked as well to provide fees-in-lieu of and other financial incentives to Bridgestone Americas."
"British Petroleum","OH","The sum is the largest made by an individual donor to engineering at OSU.   Lowrie announced that the funding will be used to support chemical and biomolecular engineering.The money will also fund a professorship for an untenured faculty member in chemical and biomolecular engineering.Lowrie said he wants the remaining funds to be used for research and education initiatives."
"Canatal Steel","VA","The company, a subsidiary of Canada’s Canatal Industries invested $1 million and expects to create 40 jobs initially and as many as 100 by 2012.Canatal Steel is a wholly owned subsidiary of Canatal Industries, headquartered in Thetford Mines, Quebec.(News & Advance)   Double Envelope, a Roanoke County-based company whose subsidiaries make custom business envelopes and direct mail materials, has grown to 400 employees and projected annual sales of $80 million with the acquisition of a Midwestern competitor.Canatal Steel is a wholly owned subsidiary of Canatal Industries, headquartered in Thetford Mines, Quebec.He said no local incentives were needed to close the deal.Canatal Steel will receive job training help from the Virginia Department of Business Assistance.Canatal Steel is a wholly owned subsidiary of Canatal Industries, headquartered in Thetford Mines, Quebec.He said no local incentives were needed to close the deal.Canatal Steel will receive job training help from the Virginia Department of Business Assistance."
"Carbures","SC","Was it the tens of millions of dollars in incentives offered by the state?Some credit could even go to former Gov. Mark Sanford, who spurned incentives but focused on creating the right economic “soil conditions” for businesses.He alluded to the tax breaks and other assistance the company received from the state and local governments to build the plant.Consumers seeking a refund will be paid either directly from the FTC or through a court-approved class- action lawsuit."
"CJ Cheiljedang","IA","The company has been approved for more than $9.5 million in tax incentives and loans from the state to help it cover the costs of its investment.There may be additional state assistance through the Department of Transportation, whose board will consider an incentive request in early November.The company has been approved for more than $9.5 million in tax incentives and loans from the state to help it cover the costs of its investment.There may be additional state assistance through the Department of Transportation, whose board will consider an incentive request in early November.The Messenger reported (http://bit.ly/oUP6Udhttp://bit.ly/oUP6Ud ) the Iowa Economic Development Authority Board approved $1.8 million in state incentives for the project Thursday.Fort Dodge's director of business affairs, Dennis Plautz, says approval of state incentives is the first step needed to get a final commitment from the company.) the Iowa Economic Development Authority Board approved $1.8 million in state incentives for the project Thursday.Fort Dodge's director of business affairs, Dennis Plautz, says approval of state incentives is the first step needed to get a final commitment from the company.The Messenger reported (http://bit.ly/oUP6Udhttp://bit.ly/oUP6Ud ) the Iowa Economic Development Authority Board approved $1.8 million in state incentives for the project Thursday.Fort Dodge's director of business affairs, Dennis Plautz, says approval of state incentives is the first step needed to get a final commitment from the company."
"Daewon","GA","It recently embarked on plans to reduce expenses by $300 million annually through job cuts, branch closings and other measures.Daewon America is a subsidiary of Daewon Kangup and manufactures coil springs, engine valve springs, suspension bars and seat springs for automotive manufacturers.Quick Start provides customized workforce training free-ofcharge as an incentive for companies to create new jobs in Georgia.Daewon America is a subsidiary of Daewon Kangup.Quick Start provides customized workforce training at no cost as an incentive for companies to create new jobs in Georgia.D aewon was founded in 1946 and produces chassis coil springs, engine valve springs, suspension bars and seat springs for the automotive industry, supplying not only Kia and Hyundai, but also General Motors, Chrysler and Nissan.Daewon America is a subsidiary of Daewon Kangup.Daewon America is a subsidiary of Daewon Kangup and manufactures coil springs, engine valve springs, suspension bars and seat springs for automotive manufacturers.Quick Start provides customized workforce training free-of-charge as an incentive for companies to create new jobs in Georgia."
"Daicel","KY","The Kentucky Economic Development Finance Authority preliminarily approved Daicel Safety Tube Processing for tax incentives up to $350,000 through the Kentucky Business Investment program.The Kentucky Economic Development Finance Authority preliminarily approved Daicel Safety Tube Processing for tax incentives up to $350,000 through the Kentucky Business Investment program.According to Paul’s office, the plan intends to close loopholes, eliminate subsidies and entitlement benefits for millionaires and billionaires.Among the cuts, Paul’s plan estimates there would be $519 billion in savings over the next 10 years if payment where earned income and child tax credit exceeds tax liability is eliminated.""The industrial park still has a lot of capacity, so any time we can give a company incentives to locate there, we want to do that.""The average wage for the Daicel plant will be more than $18.50 per hour including benefits, according to the state incentives application.Ohio County will waive its occupational licensing fees for up to 10 years as part of the total incentive package for the company.Daicel will receive up to $350,000 in tax incentives through the Kentucky Business Investment program.That is a performance-based incentive that allows the company to keep a portion of its investment over the term of the agreement through corporate income tax credits and wage assessments.To keep part of the funds, Daicel must meet its established job and investment targets.The Kentucky Economic Development Finance Authority has preliminarily approved the state incentives.He also thanked Gov. Steve Beshear, the Cabinet for Economic Development and Ohio County Fiscal Court for the tax incentive benefits."
"Daiei America","TN",""
"Daniels Sharpsmart","MD","Those countries ""will need to allow their exchange rates to better reflect market fundamentals and increase their efforts to substitute domestic demand for exports."""
"Daniels Sharpsmart","PA","Township approval for the project was granted in December."
"Daniels Sharpsmart","WI",""
"Denso Air Systems","KY","The fundraising efforts begin today and officially end Friday, because Conrad said the chamber and EDC wanted to send the donations as soon as possible.Although Chamber President and CEO Carter Hendricks said the chamber and EDC have no exact fundraising goal, they are happy to collect donations from anyone.The fundraising efforts begin today and officially end Friday, because Conrad said the chamber and EDC wanted to send the donations as soon as possible.Although Chamber President and CEO Carter Hendricks said the chamber and EDC have no exact fundraising goal, they are happy to collect donations from anyone.At Tuesday's Hopkinsville City Council meeting, Mayor Dan Kemp said the council will be asked to amend the city's budget later this year to reflect additional expenses and revenue to hire six more paramedics.Pace said the ambulance board is covering the expense to the city.The board, in turn, expects to cover the expense with additional revenues from runs for non-emergency medical runs.- The council approved the mayor's application for $75,000 in state highway funds to help pay for widening of Quintin Court in Commerce Park.The city estimates the work will cost $150,000, with the city and state sharing the expense.The federal agency will not proceed with the application to use Community Development Block Grant funds the city does not have site control of two proposed parks, the East Second Street Park and the relocated Joe Mumford Park.The city wants to use $1.5 million in federal funds for the improvements.Developers receive a 100 percent rebate on property taxes and a partial rebate on payroll taxes paid by employees.For the four fiscal years 2006-07 through 2009-10, the developers for the three districts received $51,154 in tax rebates and the city kept $25,208 in taxes.At Tuesday's Hopkinsville City Council meeting, Mayor Dan Kemp said the council will be asked to amend the city's budget later this year to reflect additional expenses and revenue to hire six more paramedics.Pace said the ambulance board is covering the expense to the city.The board, in turn, expects to cover the expense with additional revenues from runs for non-emergency medical runs.- The council approved the mayor's application for $75,000 in state highway funds to help pay for widening of Quintin Court in Commerce Park.The city estimates the work will cost $150,000, with the city and state sharing the expense.The federal agency will not proceed with the application to use Community Development Block Grant funds the city does not have site control of two proposed parks, the East Second Street Park and the relocated Joe Mumford Park.The city wants to use $1.5 million in federal funds for the improvements.Developers receive a 100 percent rebate on property taxes and a partial rebate on payroll taxes paid by employees.For the four fiscal years 2006-07 through 2009-10, the developers for the three districts received $51,154 in tax rebates and the city kept $25,208 in taxes.Denso will receive $4.2 million in tax incentives through the Kentucky Business Investment program over 10 years.The incentives are tied to the number of jobs it creates.On Tuesday, Christian Fiscal Court agreed to loan $150,000 to the foundation to fund Denso's loan, said Judge-Executive Steve Tribble.Hopkinsville City Council is expected to formally approve on Tuesday the $250,000 it plans to loan the foundation to fund the Denso loan, said Hopkinsville Mayor Dan Kemp.The council has agreed  informally to rebate more than half of the 1.95 percent payroll tax that Denso pays to the city for a maximum of $250,000.Denso will receive $4.2 million in tax incentives through the Kentucky Business Investment program over 10 years.The incentives are tied to the number of jobs it creates.On Tuesday, Christian Fiscal Court agreed to loan $150,000 to the foundation to fund Denso's loan, said Judge-Executive Steve Tribble.Hopkinsville City Council is expected to formally approve on Tuesday the $250,000 it plans to loan the foundation to fund the Denso loan, said Hopkinsville Mayor Dan Kemp.The council has agreed  informally to rebate more than half of the 1.95 percent payroll tax that Denso pays to the city for a maximum of $250,000.The Kentucky Economic Development Finance Authority preliminarily approved Denso Air Systems for $4.2 million in tax incentives through the Kentucky Business Investment program.The company is eligible for the incentives over 10 years, depending on how many jobs it creates, said Larry Hayes, secretary of the Economic Development Cabinet.In addition, Hopkinsville will give Denso a rebate of more than half of the 1.95 percent payroll tax paid to the city, said Mayor Dan Kemp.The Kentucky Economic Development Finance Authority preliminarily approved Denso Air Systems for $4.2 million in tax incentives through the Kentucky Business Investment program.The company is eligible for the incentives over 10 years, depending on how many jobs it creates, said Larry Hayes, secretary of the Economic Development Cabinet.In addition, Hopkinsville will give Denso a rebate of more than half of the 1.95 percent payroll tax paid to the city, said Mayor Dan Kemp.The Kentucky Economic Development Finance Authority preliminarily approved DENSO Air Systems for tax incentives through the Kentucky Business Investment program."
"Dronco","OH",""
"Ekornes","NC","Cit at ion (ag lc St yle )               'Hendrick Construction to renovateWamsuttaMill building for Ekornes', News Herald, The (online),  24 Aug 2011 A08 ‹http://haproxy.newsbank.com:11021:11021/apps/news/document-view? p=WORLDNEWS&docref=news/139536ADEEAC97D8›  Letters to the Editor - City, county shouldn't fund corporate welfare August 7, 2011 | News Herald, The (Morganton, NC) Section: News 221 Words Page: A04 OpenURL Link   I read in The News Herald that the city ofMorganton and Burke County have gotten together and would like to give monetary incentives to Caterpillar Inc. and Ekornes ASA as part of their expansion.Bragging rights that they are helping bring a few jobs to the area, a few dollars in their campaign funds, a bright shiny building where they can attend a ribbon cutting?Cit at ion (ag lc St yle )               'Letters to the EditorCity, county shouldn't fund corporate welfare', News Herald, The (online), 7               Aug 2011 A04 ‹http://haproxy.newsbank.com:11021:11021/apps/news/document-view?               p=WORLDNEWS&docref=news/138FAC8C77C1D1A8›  City council OKs grants for Ekornes, Caterpillar August 2, 2011 | News Herald, The (Morganton, NC) Author: JULIE N. CHANGjchang@morganton.comSection: News 499 Words Page: A03 OpenURL Link   MORGANTON - During a quick regular meetingMonday, theMorganton City Council unanimously approved two economicdevelopment grants and three motions involving roads, traffic and parking.No one spoke during two public hearings concerning the economic grants for Ekornes ASA and Caterpillar.'City council OKs grants for Ekornes, Caterpillar', News               Herald, The (online), 2 Aug 2011 A03               ‹http://haproxy.newsbank.com:11021:11021/apps/news/document-view?               p=WORLDNEWS&docref=news/138DFB426F8DA520›  Editorial - Making apoint about making things July 31, 2011 | News Herald, The (Morganton, NC) Section: News 492 Words Page: A06 OpenURL Link   Any news about new jobs in Burke County is well worth reporting, and some stories are worth telling twice.Poor quality, the loss of intellectual property in countries with little respect for patents and copyrights, the drain of high shipping expenses and customers' frustration with long delivery cycles all erode profits.Cit at ion (ag lc St yle )               'EditorialMaking apoint about making things', News Herald, The (online), 31 Jul 2011 A06               ‹http://haproxy.newsbank.com:11021:11021/apps/news/document-view?               p=WORLDNEWS&docref=news/138E0508D30727A0›  Caterpillar plans $23M expansion - Public hearings, traffic on city council agenda July 31, 2011 | News Herald, The (Morganton, NC) Section: Main 590 Words Page: A01 OpenURL Link   From staff reports   MORGANTON - Public hearings regarding two economic development assistance and grant agreements top the Morganton City Council's agenda Monday night.The grant agreement directs the city and county to pay Caterpillar an annual cash grant for five years beginning in 2013.The amount of the grant varies from year to year and Caterpillar must meet the grant's qualifications each year.According to the proposed agreement, the grant amount is equal to half of Caterpillar's taxes on new capital investment.The county will hold a public hearing regarding the grant agreement at 6 p.m. Aug. 16.The city's grant agreement with Ekornes is similar to the agreement with Caterpillar.PTP NEXT has announced a highly competitive, regionwide grant award program that will provide promising Piedmont Triad entrepreneurial companies with access to prospective grants of up to $50,000 and to expert guidance while accelerating a collaborative culture of entrepreneurship, innovation and economic engagement throughout the region.Startup or existing companies in the Piedmont Triad region with innovative products, services, processes and/or technologies can compete for the grant awards.The PTP NEXT is working in partnership with the Piedmont Triad Partnership, the region's leading marketing and economic development organization, and NC IDEA, a nonprofit founded in 2005 to foster economic development in North Carolina by helping companies commercialize their innovations and ready themselves for next-stage funding.PTP is providing administrative, staff and organizational support, as well as seed funding to launch PTP NEXT.Guilford County is considering up to $775,000 in county incentives for Honda Aircraft Co. to open a new jet service and support center in Greensboro, according to the Triad Business Journal.The city will hold a hearing Aug. 16 to consider $520,000 in incentives.A total of about $1.3 million in county and city incentives would mean up to 419 new Honda jobs with salaries and benefits packages in the range of $70,000.Bank of North Carolina, a wholly owned subsidiary of High Point-based BNC Bancorp with offices in Lexington and Thomasville, has announced the relocation and expansion of two Greensboro offices.Gov. Bev Perdue and officials from Charlotte-based Celgard, a wholly owned subsidiary of Polypore International, announced plans Monday to expand production capacity in Concord and hire an additional 250 employees.The project was made possible in part by state grants from the Job Development Investment Grant and One North Carolina Grant programs.To meet the targets established in these performance-based grants, the company plans to create 250 jobs and invest a total of $105 million in Cabarrus County over the next two years.The company also has been awarded a $500,000 grant from the One North Carolina Fund.Those grants require a local match, and that grant is contingent upon approval of local incentives.Ekornes ASA was lured in part by $100,000 worth of incentives, paid from the state's One North Carolina Fund.Ekornes ASA was lured in part by $100,000 worth of incentives, paid from the state's One North Carolina Fund.Local tax incentives and a pair of grants helped sweeten the deal for Ekorness, according to state and local officials.The One North Carolina Fund awarded the company a $100,000 grant to help lure the plant to Burke with  the city and county matching those funds with reduced property taxes over the next three years.A $440,000 building-reuse grant with matching county funds will get the 100,000-square-foot facility up to snuff for the furniture company.US Airways said Thursday that rising fuel expenses pushed its second-quarter profit down 67 percent.""We are pleased to report positive results for the quarter,"" said Pressley A. Ridgill, the president and chief executive of NewBridge Bancorp. ""We were profitable for the seventh consecutive quarter, with earnings bolstered by a strong net interest margin, lower operating expenses and improving credit quality.""The project was made possible in part by a $100,000 grant from the One North Carolina Fund.Ekornes ASA was lured in part by $100,000 worth of incentives, paid from the state's One North Carolina Fund.Ekornes will receive a $100,000 grant from the One North Carolina Fund.The money is contingent on the company meeting hiring and investment goals, and on a matching grant from the local community."
"ESAB","SC","All programs are funded by ESAB Group, Friends of the Florence County Library, Friends of the Johnsonville Library, Friends of the Lake City Library, Florence Toyota, Golden K. Kiwanis, Koppers Inc, Nan Ya, Dr. Meenakski Pande, M.D., Sleep Inn, Target and Wal Mart.""The Summer Reading Program, which is open to young people from babies to young adult, features weekly programs, prize drawings, storytimes, a summer reading club, grand prize for 7 lucky winners of trip to Fun-Day-Go and more,"" according to the release   ""Summer Reading 2011 is funded by ESAB Group, The Friends of Florence County Library, Florence Toyota, Golden K. Kiwanis, Koppers Inc, Nan Ya Plastics, Dr. Meenakski Pande M.D., South Carolina State Library & Institute of Museum of Library Service, Springhill Suites, Target, and Wal-Mart,"" according to the release.All programs are funded by ESAB Group, Friends of the Florence County Library, Friends of the Johnsonville Library, Friends of the Lake City Library, Florence Toyota, Golden K. Kiwanis, Koppers, Inc, Nan Ya, Dr. Meenakski Pande, M.D., Sleep Inn, Target, and Wal Mart.That cooperation includes providing the financial and other incentives that will seal the deal and bring new jobs and investment into this county.Admission and concession revenues  are the primary sources for covering game operations and/or high school practice expenses.Co pyrig ht, 20 11, Unio n Daily Time s , The ( SC)                   Cit at ion (ag lc St yle )               TOMMY SINCLAIR, Union County Supervisor, 'The BBBs and RRRs of spring - COUNTY CORNER',               Union Daily Times, The (online), 21 Apr 2011 4               ‹http://haproxy.newsbank.com:11021:11021/apps/news/document-view?               p=WORLDNEWS&docref=news/136F8C27DB1B4908›  County, city approve ESAB incentives April 20, 2011 | Union Daily Times, The (SC) Author: CHARLES WARNER cwarner@heartlandpublications.comSection: News 428 Words Page: 1 OpenURL Link   The incentives that helped bring a new industry to Union County are all finally in place.Union County Council and Union City Council each gave final approval Tuesday evening to ordinances authorizing incentives that helped bring ESAB Welding & Cutting Products to Union County.The recruitment of ESAB involved assembling of a package of incentives that includes a 30-year fee-in- lieu of taxes agreement which will allow the company to pay a reduced property tax rate of 6 percent a year rather than 10.5 percent.ESAB's incentive package also includes an annual Special Revenue Credit the company will receive the first five years the fee-inlieu of taxes will be paid equal to 15 percent of the fee the county will receive.The ordinance also authorizes the city to reimburse the county for 50 percent of the $100, 000 infrastructure grant ESAB will receive from the County Development Fund.Co pyrig ht, 20 11, Unio n Daily Time s , The ( SC)                   Cit at ion (ag lc St yle )               CHARLES WARNER cwarner@heartlandpublications.com, 'County, city approve ESAB incentives',               Union Daily Times, The (online), 20 Apr 2011 1               ‹http://haproxy.newsbank.com:11021:11021/apps/news/document-view?               p=WORLDNEWS&docref=news/13703B08F75E4D18›  More STEMs equal more ESABs - A UNION DAILY TIMES EDITORIAL April 20, 2011 | Union Daily Times, The (SC) Section: Viewpoint 497 Words Page: 4 OpenURL Link   If we want more ESABs to establish plants here in Union County, we have to cultivate more STEMs in our schools.Co pyrig ht, 20 11, Unio n Daily Time s , The ( SC)                   Cit at ion (ag lc St yle )               'More STEMs equal more ESABs - A UNION DAILY TIMES EDITORIAL', Union Daily Times, The (online),               20 Apr 2011 4 ‹http://haproxy.newsbank.com:11021:11021/apps/news/document-view?               p=WORLDNEWS&docref=news/13703B091B8E4E58›  County, city to hold hearings, votes on ESAB incentives - Manufacturing facility to generate more than 100 jobs April 19, 2011 | Union Daily Times, The (SC) Author: CHARLES WARNER cwarner@heartlandpublications.comSection: News 631 Words Page: 1 OpenURL Link   Union County Council and Union City Council will each meet Tuesday evening for final approval of some of the incentives the county and city are providing ESAB Welding & Cutting Products.The recruitment process involved the assembly of a package of incentives provided by the county and the city.Several of those incentives are scheduled to receive their final approval by county and city councils following public hearings Tuesday evening.The agreement is among the incentives offered ESAB including a 24-acre site the county will purchase for $800, 000 and lease the company.ESAB's incentive package also includes an annual Special Revenue Credit the company will receive the first five years the fee-in-lieu of taxes will be paid equal to 15 percent of the fee the county will receive;  and a $100, 000 infrastructure grant ESAB will receive from the County Development Fund.City council will hold a hearing at 6:15 p.m. to receive public comments in connection with the appropriation of city funds to reimburse the county for 50 percent of the costs it incurs with the purchase of the property for ESAB.The agreement also authorizes the city to reimburse the county $50, 000 or 50 percent of the $100, 000 infrastructure grant.The public hearing will be followed at 6:30 p.m.   by the council's April meeting during which council will hold second and final reading of the ordinance allocating the reimbursement monies from the city's general fund balance.Co pyrig ht, 20 11, Unio n Daily Time s , The ( SC)                   Cit at ion (ag lc St yle )               CHARLES WARNER cwarner@heartlandpublications.com, 'County, city to hold hearings, votes on               ESAB incentives - Manufacturing facility to generate more than 100 jobs', Union Daily Times, The               (online), 19 Apr 2011 1 ‹http://haproxy.newsbank.com:11021:11021/apps/news/document-The deal that brought ESAB here includes the county purchasing the site the company will lease for its facility; a 30-year fee-in-lieu of taxes agreement which enable the company to pay a reduced property tax rate; a Special Revenue Tax Credit for five years; and a $100, 000 infrastructure grant from the County Development Fund.The only way the city and the county could offer these incentives is with the support of the people of this community.The ESAB Group Inc. is a subsidiary of Anderson Group Inc., headquartered in Atlanta.They tried to offer some incentives, so everyone came to the table.Fund manager nabbed in insider trading probe   NEW YORK -- An Ivy League-trained physician who became a health care hedge fund portfolio manager surrendered Wednesday to face charges he evaded $30 million in losses for his funds by paying a French doctor for secrets on the progress of a liver disease drug.He formerly worked at FrontPoint Partners, where he oversaw six health care-related hedge funds.The ESAB North America operating companies are The ESAB Group Inc. and its subsidiaries, Alcotec Wire Corp., ESAB Group Canada Inc. and ESAB Mexico, S.A. de C.V. The ESAB Group Inc. is the wholly-owned subsidiary of Anderson Group Inc., headquartered in Atlanta."
"Evolve Composites","MD","Smith asked if the county could figure out a way to rebate the tax money to the town.Murphy agreed, saying that was why the town was suggesting the county collect the tax, but offer some form of rebate to the town."
"Exlabesa","GA",""
"Faurecia","MS","The Mississippi Development Authority (MDA) provided guidance regarding available tax incentives and worked closely with Holmes Community College, the Mississippi Department of Employment Security and the state&apos;s WIN Job Centers to assist the company with its workforce training needs."
"Flame Spray","SC","The U.S. operations will be carried out by Flame Spray North America Inc., a wholly-owned subsidiary of Flame Spray S.p.A."
"Fronius","IN","The Portage Redevelopment Commission signed off on the process to bring Austrian manufacturer Fronius USA LLC to the city with a mix of state and city financial incentives.Portage will be able to collect taxes on property and equipment in the TIF district and lend money back to Fronius for development of the property as part of its incentive.The state of Indiana already has pledged $4.2 million in edge funds and $9 million as administrator of a U.S. Department of Energy grant to the project, Portage Economic Development Adviser John Shepherd said.The state then would review the figures to ensure the project meets requirements of the state funding.If those steps are completed, the city's Economic Development Commission would review the project and make a recommendation on the scope of a city incentive in September.The City Council then would make a final determination on an issuance of bonds for a city incentive.The U.S. Department of Energy approved the state of Indiana to provide Fronius USA $9.5 million in American Recovery and Reinvestment Act funding to buy equipment for a new facility for the components in August.The U.S. Department of Energy approved the state of Indiana to provide Fronius USA $9.5 million in American Recovery and Reinvestment Act funding to buy equipment for a new facility for the components in August.The average amount of state performance-based tax incentives offered to companies on a per-job basis is $8,622, below the 2010 year-end amount of $9,981.The U.S. Department of Energy approved the state of Indiana to provide Fronius USA $9.5 million in American Recovery and Reinvestment Act funding to buy equipment for a new facility for the components in August, according to a document obtained by The Times.He said also factoring in the push toward North America and emerging markets are threats from European countries to reduce government incentives for companies and costs falling for producing solar  components and installing solar power systems.The U.S. Department of Energy approved the state of Indiana to provide Fronius USA $9.5 million in American Recovery and Reinvestment Act funding to buy equipment for a new facility for the components in August, according to a document obtained by The Times.He said also factoring in the push toward North America and emerging markets are threats from European countries to reduce government incentives for companies and costs falling for producing solar  components and installing solar power systems."
"Futaba","AL","Jersey Mike's CEO Peter Cancro and several franchise owners presented $1.1 million to Susan G. Komen for the Cure on behalf of the franchise system and its customers from the Mike's Way to a Cure awareness and fundraising campaign.Seventy-five percent of the funds raised in each market will be distributed in that area, and 25 percent will go to research.The authority's board on Tuesday authorized granting certain statutory tax abatements related to the construction of improvements by Futaba - a one-time abatement of an estimated $292,500 in non- educational sales and use taxes and abatement of an estimated $47,822.50 a year for 10 years in non- educational property taxes."
"GBT","IN","The group is part of a team developing a rocket motor through the NASA–funded Project Morpheus.GBT USA – a wholly owned subsidiary of Netherlands-based Global Blade Technology – will move into about 45,000 square feet of space leased in the former Whirlpool factory.“Evansville had the right facility in the right location with the right infrastructure and amenities – and collaborated with the state to offer the right set of economic incentives – to entice GBT USA to establish its first U.S. manufacturing facility right here in Evansville.”The city is offering the company a $292,500 three-year low-interest loan through the Evansville Revolving Loan Fund, $208,000 in Community Development Block Grant Program Disaster Recovery funds granted to Evansville by the Indiana Office of Community and Rural Affairs, and a 10-year Evansville Urban Enterprise Zone Investment Deduction, which is worth roughly $147,000.The Indiana Economic Development Corporation offered the company up to $2.8 million in performance-  based tax credits and up to $200,000 in training grants based on the company’s job creation plans of 400 new jobs by 2014 in southern Indiana.Joseph County hospital has received a substantial incentive payment for meeting federal requirements aimed at streamlining the adoption of electronic recordkeeping.Memorial Hospital of South Bend earned the $1.52 million for successfully implementing Electronic Health Records technology and becomes the first Indiana hospital to qualify for the incentive payment.“On behalf of Indiana and FSSA, I’m delighted to make this kind of incentive payment to a great health care partner.”Indiana has secured $148 million in federal funding from the Centers for Medicare and Medicaid Services for such incentive payments through 2013.Indiana was one of the first 15 states to open its Medicaid electronic health records incentive program for registration to Medicaid eligible professional and hospitals.Nationwide, 27 states have launched EHR incentive programs."
"Gerdau Ameristeel","TX","The figure includes $4 million from a U.S. Department of Commerce grant, Fisher said.On the Beaumont side of the Neches River, the port is looking toward August for a completion date for its own rail yard relocation project that is costing $15 million.The rail yard relocation will eventually allow the port to remove all but one of the railroad tracks that run between the river and the Civic Center and City Hall.People have called offering their assistance from donating dumpsters to plumbing and electrical services.We want to make sure the funds are used wisely to benefit the community,” Mullins said.The CIC meets the last Tuesday of each month and all donations of time and money are voted on and must meet the guidelines and a set cap allocated for assistance to nonprofit organizations."
